date,actual,forecast
07/09/2020,1.143,
08/09/2020,1.155,
09/09/2020,2.05,
10/09/2020,2.87,
11/09/2020,3.621,
12/09/2020,4.016,
13/09/2020,4.028,
14/09/2020,2.812,
15/09/2020,1.132,
16/09/2020,1.131,
17/09/2020,1.115,
18/09/2020,1.089,
19/09/2020,2.42,
20/09/2020,1.088,
21/09/2020,3.155,
22/09/2020,2.723,
23/09/2020,1.102,
24/09/2020,1.064,
25/09/2020,2.164,
26/09/2020,1.298,
27/09/2020,1.455,
28/09/2020,3.071,
29/09/2020,2.751,
30/09/2020,3.499,
01/10/2020,2.623,
02/10/2020,3.327,
03/10/2020,1.105,
04/10/2020,1.101,
05/10/2020,2.441,
06/10/2020,2.47,
07/10/2020,3.559,4.559
08/10/2020,2.905,2.905
09/10/2020,2.786,2.786
10/10/2020,4.249,4.249
11/10/2020,4.352,5.352
12/10/2020,1.419,1.419
13/10/2020,,3.013
14/10/2020,,2.344
15/10/2020,,2.018
16/10/2020,,1.859
17/10/2020,,2.947
18/10/2020,,1.811
19/10/2020,,3.053
20/10/2020,,2.71
21/10/2020,,2.884
22/10/2020,,2.669
23/10/2020,,3.317
24/10/2020,,1.47
25/10/2020,,2.854
26/10/2020,,1.9
27/10/2020,,1.61
28/10/2020,,2.44
29/10/2020,,3.323
30/10/2020,,2.646
31/10/2020,,2.389
